(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के प्रमुख अनुसंधान केंद्र || 18-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058613/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-3 || समास || 03-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2002660/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-4 || समास || 04-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004192/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-5 || समास || 04-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004193/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-6 || समास || 05-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004704/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-1 || काल || 05-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004705/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-2 || काल || 06-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2005941/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-3 || काल || 06-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2005943/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-1 || भाषा शिक्षण || 07-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2007416/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-2 || भाषा शिक्षण || 09-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2010855/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-3 || भाषा शिक्षण || 09-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2011410/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-4 || भाषा शिक्षण || 10-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2012385/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-5 || भाषा शिक्षण || 10-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2012386/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-6 || भाषा शिक्षण || 12-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2013951/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-7|| भाषा शिक्षण || 12-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2013952/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-8 || भाषा शिक्षण || 13-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2015622/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-9|| भाषा शिक्षण || 13-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2015623/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-10|| भाषा शिक्षण || 14-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2017340/plain/720x1280.mp4
(सामान्य हिन्दी सुनील सर) Part-11|| भाषा शिक्षण || 14-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2017341/plain/720x1280.mp4
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || खेल एवं खिलाडी || 25-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2032652/plain/720x1280.mp4
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || खेल एवं खिलाडी || 25-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2032653/plain/720x1280.mp4
(Teaching Methods) Part-1 || आकलन || 31-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1998044/plain/720x1280.mp4
(Teaching Methods) Part-1 || मापन || 01-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1999601/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-1 || पृथ्वी के स्थलरूप || 29-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1994784/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-2 || पृथ्वी के स्थलरूप|| 03-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2002659/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-3 ||पृथ्वी के स्थलरूप || 05-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2004703/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-4 || पृथ्वी के स्थलरूप|| 06-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2005940/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-5 || पृथ्वी के स्थलरूप || 07-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2007415/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-6 || पृथ्वी के स्थलरूप || 15-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2019381/plain/720x1280.mp4
(विश्व का भूगोल - जगदीश सर) Part-1 || विश्व के प्रमुख मरुस्थल || 16-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2020526/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || संविधान का निर्माण एवं संविधान सभा || 12-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1975511/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || संविधान का निर्माण एवं संविधान सभा || 13-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1976883/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || संविधान का निर्माण एवं संविधान सभा || 16-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1979294/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-4 || संविधान का निर्माण एवं संविधान सभा || 17-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1980570/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || मौलिक अधिकार || 18-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1982141/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || मौलिक अधिकार || 19-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1983907/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || मौलिक अधिकार || 20-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1985649/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-1 || संघ सरकार || 22-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1987800/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-2 || संघ सरकार || 23-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1988833/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-3 || संघ सरकार || 25-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1990605/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-4 || संघ सरकार || 27-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1992983/plain/720x1280.mp4
(राजव्यवस्था (Polity) - विक्रम सर) Part-5 || संघ सरकार || 28-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1994169/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-1 || पाठ्यक्रम परिचर्चा || 08-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2009272/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-1 || शिक्षण अधिगम सहायक सामग्री के प्रकार || 08-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2009273/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-2 || शिक्षण अधिगम सहायक सामग्री के प्रकार || 09-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2010854/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-3 || शिक्षण अधिगम सहायक सामग्री के प्रकार || 10-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2012384/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-4|| शिक्षण अधिगम सहायक सामग्री के प्रकार || 12-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2013950/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-5|| शिक्षण अधिगम सहायक सामग्री के प्रकार || 13-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2015621/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-1|| मूल्यांकन || 15-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2018916/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-2 || मूल्यांकन || 15-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2018917/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-3 || मूल्यांकन || 16-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2020525/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-4 || मूल्यांकन || 16-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2020527/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-1 || उपागम || 17-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2022126/plain/720x1280.mp4
(शिक्षण विधियाँ - ईश्वर सर) Part-2 || उपागम || 17-February : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2022127/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-1 || Teaching Methods || 09-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1970756/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-2 || Teaching Methods || 10-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1972303/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-3 || Teaching Methods || 11-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1974112/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-4 || Teaching Methods || 12-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1975510/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-1 || CLT || 13-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1976882/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-2 || CLT || 16-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1979295/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-3 || CLT || 17-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1980569/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-4 || CLT || 18-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1982140/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-1 || Evaluation || 19-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1983906/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-2 || Evaluation || 20-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1985648/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-3 || Evaluation || 22-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1987799/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-1 || Remedial Teaching || 23-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1988832/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-2 || Remedial Teaching || 25-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1990129/plain/720x1280.mp4
(English By Lal Singh Kaviya Sir) Part-3 || Remedial Teaching || 27-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1992981/plain/720x1280.mp4
(English By Surendra Sir) Part-1 || Articles || 22-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1908750/plain/720x1280.mp4
(English By Surendra Sir) Part-2 || Articles || 23-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1910248/plain/720x1280.mp4
(English By Surendra Sir) Part-3 || Articles ||  04-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1923483/plain/720x1280.mp4
(English By Surendra Sir) Part-4 || Articles || 05-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1924718/plain/720x1280.mp4
(English By Surendra Sir) Part-5 || Articles || 07-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1926226/plain/720x1280.mp4
(English By Surendra Sir) Part-6 || Articles || 08-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1927962/plain/720x1280.mp4
(English By Surendra Sir) Part-7 || Articles || 09-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1929381/plain/720x1280.mp4
(English By Surendra Sir) Part-1 || Tense || 13-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1933896/plain/720x1280.mp4
(English By Surendra Sir) Part-2 || Tense || 14-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1935406/plain/720x1280.mp4
(English By Surendra Sir) Part-3 || Tense || 15-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1936803/plain/720x1280.mp4
(English By Surendra Sir) Part-4 || Tense || 18-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1940303/plain/720x1280.mp4
(English By Surendra Sir) Part-5 || Tense || 19-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1941409/plain/720x1280.mp4
(English By Surendra Sir) Part-6 || Tense || 20-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1943051/plain/720x1280.mp4
(English By Surendra Sir) Part-7 || Tense || 21-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1944738/plain/720x1280.mp4
(English By Surendra Sir) Part-8 || Tense || 22-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1946448/plain/720x1280.mp4
(English By Surendra Sir) Part-9 || Tense || 23-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1947878/plain/720x1280.mp4
(English By Surendra Sir) Part-10 || Tense || 25-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1949901/plain/720x1280.mp4
(English By Surendra Sir) Part-11 || Tense || 26-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1951058/plain/720x1280.mp4
(English By Surendra Sir) Part-1 || Active And Passive Voice || 27-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1952664/plain/720x1280.mp4
(English By Surendra Sir) Part-2 || Active And Passive Voice || 28-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1954464/plain/720x1280.mp4
(English By Surendra Sir) Part-3 || Active And Passive Voice || 30-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1957739/plain/720x1280.mp4
(English By Surendra Sir) Part-4 || Active And Passive Voice || 01-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1959607/plain/720x1280.mp4
(English By Surendra Sir) Part-1 || Direct and indirect speech || 02-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1960569/plain/720x1280.mp4
(English By Surendra Sir) Part-2 || Direct and indirect speech || 03-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1961612/plain/720x1280.mp4
(English By Surendra Sir) Part-3 || Direct and indirect speech || 04-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1963485/plain/720x1280.mp4
(English By Surendra Sir) Part-4 || Direct and indirect speech || 05-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1964976/plain/720x1280.mp4
(English By Surendra Sir) Part-5 || Direct and indirect speech || 06-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1967280/plain/720x1280.mp4
(English By Surendra Sir) Part-6 || Direct and indirect speech || 08-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1969245/plain/720x1280.mp4
(English By Surendra Sir) Part-7 || Direct and indirect speech || 10-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1972300/plain/720x1280.mp4
(English By Surendra Sir) Part-8 || Direct and indirect speech || 11-January : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1974113/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-1 || पाठ्यक्रम परिचर्चा || 27-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1913916/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-2 || पाठ्यक्रम परिचर्चा || 27-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1913917/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-3 || पाठ्यक्रम परिचर्चा || 28-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1915044/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-1 || गणित शिक्षण के उद्देश्य || 28-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1915045/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-1 || गणित शिक्षण की विधियाँ || 29-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1916720/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-2 || गणित शिक्षण की विधियाँ || 29-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1916721/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-3 || गणित शिक्षण की विधियाँ || 30-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1918241/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-4 || गणित शिक्षण की विधियाँ || 30-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1918242/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-5 || गणित शिक्षण की विधियाँ || 01-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1919834/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-1 || मूल्यांकन || 01-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1919835/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-2 || मूल्यांकन || 02-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1921449/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-3 || मूल्यांकन || 02-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1921450/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-4 || मूल्यांकन || 10-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1930636/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-5 || मूल्यांकन || 10-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1930637/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-6 || मूल्यांकन || 11-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1931287/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-7 || मूल्यांकन || 11-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1931288/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-1 || योजना निर्माण तथा उसके उपागम || 12-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1932395/plain/720x1280.mp4
(गणित शिक्षण विधियाँ - रियाज सर ) Part-1 || MCQ Practice (शिक्षण विधियाँ) || 12-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1932396/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-1 || कोशिका || 22-November : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1908751/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-2 || कोशिका || 04-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1923485/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-3 || कोशिका || 05-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1924720/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-4 || कोशिका || 07-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1926227/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-5 || कोशिका || 08-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1927963/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-1 || श्वसन तंत्र || 08-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1927964/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-2 || श्वसन तंत्र || 09-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1929382/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-3 || श्वसन तंत्र || 14-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1935408/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-1 || रक्त || 15-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1936805/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-2 || रक्त || 18-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1940304/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-3 || रक्त || 19-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1941410/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-1 || जंतु में जनन || 19-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1941411/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-2 || जंतु में जनन || 20-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1943052/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-3 || जंतु में जनन || 21-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1944739/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-4 || जंतु में जनन || 22-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1946449/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-1 || गति || 23-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1947879/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-2 || गति || 25-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1949903/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-1 || बल || 26-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1951059/plain/720x1280.mp4
(सामान्य विज्ञान - डॉ. भागीरथ सर) Part-2 || बल || 27-December : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/1952665/plain/720x1280.mp4
