Class - 01 | Coding Decoding | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-26-0.06806327109120902.pdf*34jpAWrBDLAlwm9B
IDIOMS SET - 06 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.12872820490931192.pdf
IDIOMS SET - 07 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.03351013782498313.pdf
IDIOMS SET - 08 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.2098598438756064.pdf
IDIOMS SET - 09 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.9068848266763282.pdf
IDIOMS SET - 10 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.17224482742659952.pdf
ONE WORD SET - 06 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.7128585709026165.pdf
ONE WORD SET - 07 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.5877413430627529.pdf
ONE WORD SET - 08 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.08131161847174273.pdf
ONE WORD SET - 09 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.18171992626021005.pdf
ONE WORD SET - 10 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.7666392524033065.pdf
SPELLING SET - 06 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.23998116356931143.pdf
SPELLING SET - 07 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.462301205805437.pdf
SPELLING SET - 08 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.14760604124307963.pdf
SPELLING SET - 09 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.6264407153205749.pdf
SPELLING SET - 10 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.6872389450044879.pdf
SYNONYMS SET - 06 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.07160729414950151.pdf
SYNONYMS SET - 07 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.45159049215981517.pdf
SYNONYMS SET - 08 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.49110106907611406.pdf
SYNONYMS SET - 09 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.4323935303383063.pdf
SYNONYMS SET - 10 : https://appx-content-v2.classx.co.in/paid_course4/2025-06-18-0.521201499562523.pdf
Class - 01 | Ratio & Proportion | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.7828813456831256.pdf
Class - 01 | Ratio & Proportion | One Shot : https://appx-content-v2.classx.co.in/paid_course3/2025-06-05-0.7207342100603499.pdf
Class - 02 | Percentage | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.1311007701014959.pdf
Class - 02 | Percentage | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-09-0.7458778577811424.pdf
Class - 03 | Profit & Loss | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.5616890230035161.pdf
Class - 03 | Profit & Loss | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.1014257374553893.pdf
Class - 04 | Average | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.8957145788414964.pdf
Class - 04 | Average | One Shot : https://appx-content-v2.classx.co.in/paid_course3/2025-06-16-0.5680930204576526.pdf
Class - 05 | Pipe & Cistern | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.4246356325823567.pdf
Class - 05 | Pipe & Cistern | One Shot : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.7983302008934103.pdf
Class - 06 | Time & Work | One Short : https://appx-content-v2.classx.co.in/paid_course3/2025-06-18-0.5327404519009196.pdf
Class - 06 | Time & Work | One Short : https://appx-content-v2.classx.co.in/paid_course3/2025-06-18-0.20816800493339493.pdf
Class - 07 | Speed Time & Distance | One Shot : https://appx-content-v2.classx.co.in/paid_course3/2025-06-20-0.2018059219307733.pdf
Class - 07 | Speed Time & Distance | One Shot : https://appx-content-v2.classx.co.in/paid_course3/2025-06-20-0.4099577053238769.pdf
Class - 08 | Mensuration (2D & 3D) | One Shot : https://appx-content-v2.classx.co.in/paid_course3/2025-06-21-0.9801301530513741.pdf
Class - 08 | Mensuration (2D & 3D) | One Shot : https://appx-content-v2.classx.co.in/paid_course3/2025-06-21-0.41515399573977974.pdf
Class - 01 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-26-0.06441625837551612.pdf*B3vKy3nGdffVJknU
Class - 01 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-26-0.06801546858380181.pdf*3x7tmgGYa62VSpoS
Class - 02 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-27-0.8271323130443508.pdf*ZxMsyBQRAmD2BCvc
Class - 02 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-27-0.8147303890437874.pdf*C7aeplffPAtLXdNF
Class - 03 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-28-0.15278871891407098.pdf*9xmlrgZuvkrVPzVx
Class - 03 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/paid_course3/2025-04-28-0.49363818665473425.pdf*bFK6k70N6f2faErc
Class - 04 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-29-0.33735132131732726.pdf*Sm2735DIr6XoJ66c
Class - 04 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-29-0.3833475777586237.pdf*iSH7szpF2XYrirtN
Class - 05 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-30-0.7004504340992562.pdf*UXUqRpXaIL3O0uYN
Class - 05 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-30-0.6217023796079987.pdf*oWDJWiuFYqyAuUuk
Class - 06 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-01-0.86612290182602.pdf*eoLmB2oT9VxGXusZ
Class - 06 | Ratio & Proportion | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-01-0.5628423674863193.pdf*lKxP3VfhCxc1Fxge
Class - 07 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-02-0.06615814217476257.pdf*Tl6jwBpzH2F4EW6P
Class - 07 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-02-0.1576158264948052.pdf*CzZZc4674dn7zh0d
Class - 08 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-07-0.19333780901536712.pdf*u0MxdGDmHoOIzjMh
Class - 09 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-08-0.07870862824767444.pdf*uzqlOWO1Lf0KX5KG
Class - 09 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-08-0.23037871051514092.pdf*gjuZ5FvOmwXqpnik
Class - 10 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-12-0.02542610834448278.pdf*gyQgtG3HvgwDP4sY
Class - 10 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-12-0.8405418272648917.pdf*HrzmNC0hQL1iBuOk
Class - 11 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-13-0.39432180575424136.pdf*Yr5IjEOqGInByp3B
Class - 11 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-13-0.9945466383861779.pdf*iHy76Hr20LDe7ssx
Class - 12 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-14-0.8738047395510573.pdf*YLkOrhIWFgnTQTw4
Class - 12 | Percentage | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-14-0.8933714799236381.pdf*DLW8syMqWJlYVZ7l
Percentage PDF : https://appx-content-v2.classx.co.in/paid_course4/2025-05-15-0.6415704704747922.pdf*I03ri4oEyDXxWSPw
Class - 13 | Percentage| Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-16-0.4393849856800247.pdf*QWoBW4K9jQTjOGoY
Class - 13 | Percentage| Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-16-0.5297230438541723.pdf*hmsSzb5naA6ohPJ8
Class - 14 | Calculation | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-19-0.020538734310723616.pdf
Class - 15 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-20-0.6626469126601413.pdf
Class - 15 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-20-0.15128751642981364.pdf
Class - 17 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-22-0.8473511150666402.pdf
Class - 16 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-21-0.024138466759909827.pdf
Class - 16 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-21-0.6603860453515116.pdf
Class - 18 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-23-0.9122867183262768.pdf
Class - 18 | Profit & Loss | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-23-0.2364703163266122.pdf
Class - 19 | Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-26-0.7941070834978894.pdf
Class - 19 | Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-26-0.2202193264812946.pdf
Class - 20 | Discount | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-27-0.8581647460187773.pdf
Class - 20 | Discount | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-28-0.9460201403710379.pdf
Class - 22 | Discount | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-28-0.25231988962473273.pdf
Class - 21 | Simplification | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-22-0.31460093076106244.pdf*kHAasJkWJR7QKomI
Class - 21 | Simplification | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-04-25-0.46341370260742.pdf*cOO9XZ5AWukhLvo0
Class - 23 | Partnership | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-30-0.4409561999288313.pdf
Class - 23 | Partnership | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-05-30-0.9822152158095038.pdf
Class - 24 | weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-02-0.9227046810863666.pdf
Class - 24 | weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-02-0.2252553838999476.pdf
Class - 25 | Average - 01 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-03-0.6586610290952699.pdf
Class - 25 | Average - 01 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-06-0.663218885528186.pdf
Class - 26 | Average - 02 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-04-0.09836113811695335.pdf
Class - 27 | Average - 03 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-06-0.5935119447168329.pdf
Class - 28 | Average - 04 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-09-0.7757205018304812.pdf
Class - 29 | Time & Work - 01 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-10-0.8334984226702207.pdf
Class - 29 | Time & Work - 01 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-10-0.1761767629591886.pdf
Class - 30 | Time & Work - 02 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-11-0.6738136302013619.pdf
Class - 31 | Time & Work - 03 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-12-0.8772613784950454.pdf
Class - 32 | Time & Work - 04 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-13-0.5583595596038036.pdf
Class - 33 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-16-0.9608087731620889.pdf
Class - 33 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-16-0.28556098471770164.pdf
Class - 34 | Pipe & Cistern | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.4246356325823567.pdf
Class - 34 | Pipe & Cistern | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-17-0.7983302008934103.pdf
Class - 35 | HCF & LCM | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.08527886496696846.pdf
Class - 35 | HCF & LCM | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-18-0.2034708678742263.pdf
Class - 36 | LCM & HCF Part - 02 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-19-0.41292011392334727.pdf
Class - 37 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-23-0.47575712592488595.pdf
Class - 37 | Weekly Test Solution | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-23-0.7412186591493496.pdf
Class - 38 | LCM & HCF Part - 03 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-25-0.9665378221036713.pdf
Class - 39 | Time, Speed & Distance - 01 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-26-0.0821424383969176.pdf
Class - 39 | Time, Speed & Distance - 01 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-26-0.3106039530541491.pdf
Class - 40 | Time, Speed & Distance - 02 | Robin Sir : https://appx-content-v2.classx.co.in/subject/2025-06-27-0.9370743774017292.pdf
Class - 01 | Practice | Subject Verb Agreement | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-05-21-0.02763582704837353.pdf
Class - 02 | Practice | Subject Verb Agreement | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-05-22-0.1566944231374635.pdf
Class - 03 | Article | Practice | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-05-29-0.46656553055436045.pdf
Class - 03 | Article | Practice | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-05-29-0.03921820405377674.pdf
Class - 04 | Article | Practice | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-05-30-0.953221816790487.pdf
Class - 04 | Article | Practice | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-05-30-0.8931801325319288.pdf
Class - 05 | Noun | Practice | Sandeep Bhaiya : https://appx-content-v2.classx.co.in/subject/2025-06-21-0.6105083633569126.pdf
Class - 01 | Coding Decoding | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/315592-1745642986/encrypted-f9872e/360p.zip
Class - 02 | Coding Decoding | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/316825-1745731366/encrypted-10c670/360p.zip
Class - 03 | Coding Decoding | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/317369-1745815778/encrypted-96c9b6/360p.zip
Class - 04 | Coding Decoding | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/318466-1745901283/encrypted-715135/360p.zip
Class - 05 | Coding Decoding | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/319739-1745987683/encrypted-4b7bfc/360p.zip
Class - 06 | Coding Decoding | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/321169-1746073367/encrypted-1a434a/360p.zip
Class - 07 | Word Formation & Latter Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/322319-1746161204/encrypted-dc6de4/360p.zip
Class - 08 | Paper Cutting & Folding, Mirror & Water Image | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/300537-1744443278/encrypted-c02a78/360p.zip
Class - 09 | Embedded figure & Completion of figure, Analogy | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/301875-1744614820/encrypted-f2ab47/360p.zip
Class - 10 | Previous Chapter Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/304154-1744787618/encrypted-c3450b/360p.zip
Class - 11 | Alphabetical Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/328032-1746593027/encrypted-726393/360p.zip
Class - 12 | Alphabetical Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/329470-1746681766/encrypted-2bad10/360p.zip
Class - 13 | Number Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/330757-1746768882/encrypted-21f365/360p.zip
Class - 14 | Number Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/334040-1747028622/encrypted-f5663e/360p.zip
Class - 15 | Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/336990-1747201425/encrypted-d273a3/360p.zip
Class - 16 | Number Series & Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/339887-1747373686/encrypted-dad145/360p.zip
Class - 17 | Coded Equation | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2049922-1747633426/encrypted-0378ea/360p/encrypted.mkv*7847949
Class - 18 | Coded Equation | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2054017-1747719828/encrypted-4f8bb4/360p/encrypted.mkv*40566
Class - 19 | Missing Terms | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2058104-1747805867/encrypted-ee8e43/360p/encrypted.mkv*4416218
Class - 20 | Missing Terms | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2062253-1747892450/encrypted-7b6c57/360p/encrypted.mkv*2619264
Class - 21 | Missing Terms | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2066481-1747979028/encrypted-461ae7/360p/encrypted.mkv*5743308
Class - 22 | Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2075317-1748238051/encrypted-d6a74d/360p/encrypted.mkv*1141191
Class - 24 | Ranking & Blood Relation | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2082830-1748410664/encrypted-7a7668/360p/encrypted.mkv*1417556
Class - 23 | Blood Relation | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2078975-1748324259/encrypted-669fd4/360p/encrypted.mkv*8783478
Class - 25 | Distance & Direction | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2091252-1748584011/encrypted-c328c5/360p/encrypted.mkv*4116973
Class - 26 | Distance & Diraction, Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2099726-1748843377/encrypted-96a737/360p/encrypted.mkv*990824
Class - 27 | Dice | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2103338-1748929415/encrypted-dcc19a/360p/encrypted.mkv*8720644
Class - 28 | Venn Diagram | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2115126-1749188618/encrypted-01709d/360p/encrypted.mkv*4843156
Class - 29 | Weekly Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2123556-1749446741/encrypted-5d5619/360p/encrypted.mkv*3215598
Class - 30 | Clock & Calendar | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2127504-1749534762/encrypted-c5e220/360p/encrypted.mkv*2354891
Class - 31 | Clock & Calendar | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2131232-1749620264/encrypted-c6328a/360p/encrypted.mkv*2550076
Class - 33 | Analogy | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2139459-1749791080/encrypted-9d3072/360p/encrypted.mkv*4051195
Class - 32 | Analogy | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2135482-1749706479/encrypted-cdb2fc/360p/encrypted.mkv*7516133
Class - 34 | Weekly Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2147699-1750051363/encrypted-fb87f8/360p/encrypted.mkv*3270757
Class - 35 | Classification | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2151987-1750138484/encrypted-e0768e/360p/encrypted.mkv*3457600
Class - 36 | Sitting Arrangement | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2156274-1750224885/encrypted-2e38ea/360p/encrypted.mkv*5660620
Class - 37 | Counting of Figure | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2160555-1750317989/encrypted-5d8989/360p/encrypted.mkv*1382152
Class - 38 | Weekly Test Solution | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2174604-1750654540/encrypted-adef5d/360p/encrypted.mkv*7023297
Class - 39 | Figure Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2183364-1750829684/encrypted-57f6cb/360p/encrypted.mkv*6412712
Class - 40 | Figure Series | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2192048-1751003390/encrypted-cb82b3/360p/encrypted.mkv*1930961
Class - 01 | Analogy | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2194199-1751029661/encrypted-26f391/360p/encrypted.mkv*5755523
Class - 02 | Blood Relation | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2194201-1751029663/encrypted-56d411/360p/encrypted.mkv*3222097
Class - 04 | Mirror Image | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2194280-1751031101/encrypted-f7572e/360p/encrypted.mkv*9989691
Class - 03 | Dice | Robin Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2194281-1751031101/encrypted-2b28e4/360p/encrypted.mkv*6236496
Class - 01 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/315969-1745652702/encrypted-b4445d/360p.zip
Class - 02 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/316874-1745736046/encrypted-21e24a/360p.zip
Class - 03 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/317531-1745822263/encrypted-ada97f/360p.zip
Class - 04 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/318638-1745907944/encrypted-91bbfa/360p.zip
Class - 05 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/320053-1745994881/encrypted-d44883/360p.zip
Class - 06 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/321412-1746081465/encrypted-7de569/360p.zip
Class - 07 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/322507-1746167862/encrypted-d822fd/360p.zip
Class - 08 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/326834-1746513648/encrypted-985e95/360p.zip
Class - 09 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/328257-1746600228/encrypted-481a80/360p.zip
Class - 10 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/329648-1746686807/encrypted-669aa8/360p.zip
Class - 11 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/330956-1746773567/encrypted-155e6d/360p.zip
Class - 12 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/333866-1747021609/encrypted-108780/360p.zip
Class - 13 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/335275-1747108003/encrypted-dd7067/360p.zip
Class - 14 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/336692-1747193865/encrypted-1c7110/360p.zip
Class - 15 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/338197-1747280804/encrypted-2f03de/360p.zip
Class - 16 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/339709-1747366843/encrypted-5998b4/360p.zip
Class - 17 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2049273-1747626043/encrypted-fee4bb/360p/encrypted.mkv*1211550
Class - 18 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2053413-1747712795/encrypted-fb7125/360p/encrypted.mkv*5580153
Class - 19 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2057650-1747799385/encrypted-0b3e84/360p/encrypted.mkv*7713954
Class - 20 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2061704-1747885425/encrypted-a4b319/360p/encrypted.mkv*9425250
Class - 21 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2065855-1747971821/encrypted-c47e4e/360p/encrypted.mkv*1267294
Class - 22 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2074811-1748231199/encrypted-4f1164/360p/encrypted.mkv*8726141
Class - 23 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2078435-1748317249/encrypted-15e9b3/360p/encrypted.mkv*3065135
Class - 24 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2082280-1748403464/encrypted-3e29d3/360p/encrypted.mkv*7737013
Class - 25 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2086098-1748490226/encrypted-66f722/360p/encrypted.mkv*5073017
Class - 26 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2090435-1748576801/encrypted-1fa96c/360p/encrypted.mkv*4080664
Class - 27 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2099194-1748836001/encrypted-a8c436/360p/encrypted.mkv*2193766
Class - 28 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2102783-1748922395/encrypted-fc2c68/360p/encrypted.mkv*5771503
Class - 29 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2106917-1749008980/encrypted-2bf2cc/360p/encrypted.mkv*8688291
Class -30 | GK & GS | Akshay Sir : https://transcoded-videos-v2.classx.co.in/videos/cadetsdefenceacademy-data/2110984-1749096644/encrypted-67ae87/360p/encrypted.mkv*1264405
